,euclidean,manhattan,maximum
1,0.43,0.32,0.40
2,0.42,0.35,0.39
3,0.42,0.36,0.38
4,0.40,0.33,0.39
5,0.39,0.34,0.38
6,0.39,0.35,0.37
7,0.38,0.33,0.36
8,0.40,0.35,0.37
9,0.37,0.33,0.36
10,0.39,0.36,0.37
11,0.40,0.35,0.39
12,0.37,0.35,0.37
13,0.37,0.36,0.36
14,0.37,0.34,0.36
15,0.39,0.37,0.38
16,0.40,0.36,0.40
17,0.41,0.34,0.40
18,0.42,0.36,0.41
19,0.41,0.36,0.44
20,0.43,0.38,0.41
21,0.41,0.37,0.44
22,0.45,0.36,0.46
23,0.46,0.37,0.46
24,0.44,0.36,0.50
25,0.45,0.37,0.53
26,0.46,0.38,0.52
27,0.49,0.39,0.56
28,0.49,0.39,0.53
29,0.48,0.37,0.55
30,0.48,0.38,0.52
31,0.46,0.37,0.48
32,0.48,0.38,0.51
33,0.49,0.39,0.52
34,0.50,0.40,0.50
35,0.48,0.41,0.50
36,0.50,0.39,0.53
37,0.50,0.39,0.54
38,0.55,0.39,0.58
39,0.56,0.42,0.62
40,0.56,0.39,0.61
41,0.62,0.43,0.74
42,0.63,0.45,0.83
43,0.64,0.47,0.80
44,0.68,0.50,0.84
45,0.80,0.53,1.03
46,0.70,0.53,0.88
47,0.76,0.54,0.97
48,0.70,0.53,0.90
49,0.81,0.59,1.11
50,2.49,1.41,3.02
