"","euclidean","manhattan","maximum"
"1",4.96,3.31,5.8
"2",6.07,3.4,7.13
"3",6.38,4.09,7.47
"4",7.67,4.87,8.09
"5",8.22,4.73,8.77
"6",8.71,4.96,9.69
"7",9.64,5.28,10.63
"8",10.05,5.55,10.59
"9",10.76,5.7,10.62
"10",10.25,5.34,11.42
"11",11.17,5.42,11.66
"12",12.41,5.82,12.85
"13",12.91,5.11,13.4
"14",13.4,6.76,13.6
"15",12.62,5.06,13.66
"16",13.08,5.54,14.31
"17",11.55,5.62,13.65
"18",11.95,5.36,13.85
"19",11.27,4.57,13.58
"20",10.44,3.49,12.91
"21",10.64,3.53,12.9
"22",8.17,3.51,11.69
"23",7.63,3.54,11.19
"24",8.08,3.26,11.17
"25",6.21,2.39,11.1
"26",5.18,2.37,7.71
"27",4.34,2.11,7.52
"28",4.38,2.39,6.13
"29",3.29,2.26,5.71
"30",2.91,2,5.1
"31",2.41,2.27,2.86
"32",2.31,2,2.8
"33",2.19,2.03,3.33
"34",2.23,2.15,2.46
"35",2.14,2,2.35
"36",2.19,2.03,2.32
"37",2.33,2.05,2.6
"38",2.27,2.13,2.38
"39",2.41,2.12,2.74
"40",2.36,2.16,3.1
"41",2.23,2.1,3.61
"42",2.97,2.32,5.28
"43",2.42,2.06,4.65
"44",2.28,2.03,4.55
"45",2.51,2.23,5.57
"46",2.42,2.04,5.44
"47",2.46,2.06,6.45
"48",2.36,2.08,6.55
"49",2.81,2.16,8.33
"50",2.98,2.36,3.29
