"","euclidean"
"1",0.156499878016373
"2",0.10584530944069
"3",0.100301516263449
"4",0.0923332675054977
"5",0.0966103951712746
"6",0.0994021294158744
"7",0.0959457997389782
"8",0.0945378500538755
"9",0.092922949621797
"10",0.0923401314919607
"11",0.0978955709603692
"12",0.0914785647111702
"13",0.0933921043255439
"14",0.0918820129877954
"15",0.101301679374593
"16",0.097940744971902
"17",0.107606587188616
"18",0.110988718951431
"19",0.108782511499215
"20",0.113596738807387
"21",0.11416546268907
"22",0.108378043256112
"23",0.1169403269596
"24",0.131071309185159
"25",0.122739545001684
"26",0.127470599104379
"27",0.138032779510462
"28",0.136210390952629
"29",0.142458737768772
"30",0.142577658207839
"31",0.143162419989662
"32",0.160300985698303
"33",0.165885022259363
"34",0.160764124964248
"35",0.166647711616102
"36",0.183099666403496
"37",0.214371916821983
"38",0.217045024434963
"39",0.242857153690967
"40",0.267040715807769
"41",0.309894342463415
"42",0.386955783003863
"43",0.394488493099435
"44",0.470134533945716
"45",0.503063742117812
"46",0.514755675996224
"47",0.571438525676817
"48",0.540176490622629
"49",0.676205589708497
"50",2.16636122802301
