"","euclidean"
"1",0.252774780774781
"2",0.21776356976357
"3",0.235675685425685
"4",0.259219752469752
"5",0.20375160950161
"6",0.244669080919081
"7",0.256454628704629
"8",0.243504107004107
"9",0.238330225330225
"10",0.24487592962593
"11",0.2362722000222
"12",0.254030885780886
"13",0.248018703518704
"14",0.230215895215895
"15",0.241006743256743
"16",0.252092324342324
"17",0.251846375846376
"18",0.237524364524365
"19",0.250730491730492
"20",0.233959124209124
"21",0.235119380619381
"22",0.25467587967588
"23",0.263940115440115
"24",0.266827006327006
"25",0.251468808968809
"26",0.26465984015984
"27",0.254553446553447
"28",0.255757742257742
"29",0.258579753579754
"30",0.245655455655456
"31",0.252982350982351
"32",0.230278554778555
"33",0.252496336996337
"34",0.24039627039627
"35",0.225677988677989
"36",0.196900266400266
"37",0.176887279387279
"38",0.163636363636364
"39",0.179897435897436
"40",0.131276556776557
"41",0.139230769230769
"42",0.122919413919414
"43",0.137820512820513
"44",0.127553113553114
"45",0.132164835164835
"46",0.1356336996337
"47",0.169551282051282
"48",0.203498334998335
"49",0.29747668997669
"50",0.264429487179487
