"","euclidean"
"1",5.45
"2",5.89
"3",6.63
"4",6.94
"5",7.37
"6",7.63
"7",9.42
"8",9.79
"9",9.65
"10",10.96
"11",11.13
"12",11.62
"13",12.35
"14",13.1
"15",12.6
"16",13.07
"17",13.35
"18",13.28
"19",13.47
"20",13.79
"21",13.66
"22",13.79
"23",13.76
"24",13.95
"25",13.8
"26",13.77
"27",14.05
"28",14.06
"29",13.95
"30",14.26
"31",14.2
"32",13.78
"33",13.66
"34",13.42
"35",12.07
"36",10.69
"37",9.95
"38",9.61
"39",9.1
"40",7.97
"41",8.35
"42",8.13
"43",8.72
"44",8.59
"45",9.07
"46",10.01
"47",10.73
"48",11.78
"49",12.39
"50",7.66
