,euclidean,manhattan,maximum
1,0.08,0.04,0.13
2,0.06,0.06,0.10
3,0.08,0.08,0.11
4,0.08,0.07,0.12
5,0.07,0.06,0.10
6,0.08,0.07,0.11
7,0.09,0.08,0.12
8,0.08,0.08,0.11
9,0.09,0.09,0.12
10,0.10,0.10,0.10
11,0.08,0.08,0.10
12,0.08,0.09,0.10
13,0.09,0.09,0.11
14,0.09,0.09,0.10
15,0.08,0.08,0.10
16,0.08,0.08,0.09
17,0.08,0.07,0.11
18,0.08,0.08,0.11
19,0.08,0.07,0.10
20,0.08,0.07,0.11
21,0.09,0.08,0.11
22,0.11,0.10,0.14
23,0.10,0.10,0.13
24,0.11,0.11,0.13
25,0.10,0.09,0.13
26,0.12,0.10,0.15
27,0.10,0.09,0.14
28,0.12,0.11,0.15
29,0.11,0.10,0.14
30,0.13,0.11,0.15
31,0.12,0.11,0.14
32,0.12,0.10,0.15
33,0.11,0.11,0.14
34,0.10,0.09,0.13
35,0.08,0.08,0.11
36,0.09,0.09,0.11
37,0.09,0.09,0.12
38,0.10,0.09,0.09
39,0.08,0.10,0.11
40,0.09,0.09,0.09
41,0.10,0.09,0.10
42,0.09,0.08,0.08
43,0.07,0.08,0.11
44,0.09,0.08,0.11
45,0.08,0.08,0.10
46,0.09,0.08,0.10
47,0.08,0.07,0.12
48,0.10,0.10,0.15
49,0.10,0.10,0.18
50,0.10,0.13,0.12
