"","euclidean","manhattan","maximum"
"1",9.91,7.02,8.73
"2",7.28,6.32,7.78
"3",7.03,6.41,8.33
"4",7.98,6.92,8.7
"5",8.83,7.2,10.16
"6",8.89,7.59,9.72
"7",9.82,9.06,10.81
"8",9.98,8.54,10.95
"9",10.71,9.41,11.68
"10",11.29,10.22,11.91
"11",11.5,10.64,12.15
"12",12.06,11.43,12.77
"13",12.88,11.7,12.95
"14",13.32,12.46,13.77
"15",13.73,13.17,13.49
"16",13.78,13.46,14.02
"17",14.26,13.69,14.12
"18",13.95,13.96,14.07
"19",14.15,14.19,13.81
"20",14.47,14.34,14.27
"21",14.67,14.61,14.25
"22",14.46,14.52,13.96
"23",14.39,14.57,13.86
"24",14.76,14.53,14.12
"25",14.66,14.55,13.94
"26",14.48,14.56,13.97
"27",14.65,14.06,13.7
"28",14.81,14.36,14.12
"29",14.49,14.13,14.33
"30",14.77,14.05,14.22
"31",14.52,14.01,14.11
"32",14.26,14.02,13.56
"33",13.36,13.7,12.72
"34",13.66,13.36,12.97
"35",12.25,11.84,11.59
"36",11.46,10.81,9.82
"37",9.76,10.97,7.59
"38",8.35,9.32,5.69
"39",7.82,9.08,6.26
"40",6.65,8.08,5.45
"41",7,8.77,5.78
"42",8.34,8.76,7.62
"43",8.17,9.21,8.18
"44",8.51,9.02,8.18
"45",9.09,8.96,8.65
"46",10.25,9.76,10
"47",10.95,10.18,10.84
"48",12.18,10.94,12.19
"49",12.94,12.43,12.82
"50",9.63,7.09,9.9
