"","hclust","pam","kmeans"
"1",3.3,9.7,2
"2",4.8,5.2,2
"3",5.3,3.8,3.2
"4",5.1,7.5,5.8
"5",8.6,6.9,6.5
"6",6.8,6.4,5
"7",7.9,10.1,10.6
"8",8.7,7.7,9.4
"9",11.5,10.3,9.9
"10",8.5,9.6,12.1
"11",10.1,11,10.2
"12",12.8,10.8,11.8
"13",13.2,13,13.9
"14",14.1,13.4,13.7
"15",12.9,13.4,13.9
"16",13.4,13.6,13.4
"17",12.2,14.7,13.6
"18",13.3,15,12.9
"19",11.1,13.8,14.6
"20",9.5,14.8,13.5
"21",13.2,14.7,13
"22",13.7,14.3,14.3
"23",10.6,14.9,13.3
"24",9.7,14.8,14.2
"25",8.3,14.7,13.8
"26",5.4,14.7,13.8
"27",5.4,14.9,13.8
"28",5.9,14.9,13.3
"29",5.9,14.3,13.5
"30",5.9,15,14.2
"31",2,14.8,13.7
"32",2,14.7,14.3
"33",2,14.9,14
"34",2,14.9,14.9
"35",2.1,10.9,14.7
"36",2.1,13.6,14.4
"37",2,12.3,12.8
"38",2.1,12.1,14.7
"39",2.1,8.4,10.1
"40",2.1,8.6,10.6
"41",2,11,14.1
"42",5.6,14.9,14.6
"43",3.3,15,14.6
"44",3.3,14.9,14.6
"45",3.3,15,14.4
"46",2,15,14.5
"47",2,14.3,14.4
"48",2,15,14.5
"49",4.6,14.9,14.3
"50",2,13.7,12.2
